sample	coverage	taxonomy
SRR11125891_1	0.48	Root; d__Archaea
SRR11125891_1	1.73	Root; d__Bacteria
SRR11125891_1	2.21	Root; d__Bacteria; p__Bacillota
SRR11125891_1	0.05	Root; d__Bacteria; p__Pseudomonadota
SRR11125891_1	0.17	Root; d__Bacteria; p__Verrucomicrobiota
SRR11125891_1	2.89	Root; d__Bacteria; p__Bacillota; c__Clostridia
SRR11125891_1	0.56	Root; d__Bacteria; p__Bacillota; c__Bacilli
SRR11125891_1	0.57	Root; d__Bacteria; p__Bacillota; c__Negativicutes
SRR11125891_1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
SRR11125891_1	0.51	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
SRR11125891_1	4.28	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales
SRR11125891_1	0.81	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Christensenellales
SRR11125891_1	0.91	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
SRR11125891_1	0.4	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales
SRR11125891_1	1.58	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
SRR11125891_1	0.87	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
SRR11125891_1	0.45	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales
SRR11125891_1	12.97	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
SRR11125891_1	5.76	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
SRR11125891_1	1.45	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
SRR11125891_1	0.64	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Christensenellales; f__CAG-138
SRR11125891_1	2.35	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Christensenellales; f__Aristaeellaceae
SRR11125891_1	1.31	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae
SRR11125891_1	0.11	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae
SRR11125891_1	0.57	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__TANB77; f__CAG-508
SRR11125891_1	4.66	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
SRR11125891_1	0.06	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Clostridiales; f__Clostridiaceae
SRR11125891_1	0.91	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
SRR11125891_1	0.23	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Enterococcaceae
SRR11125891_1	0.62	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RF39; f__UBA660
SRR11125891_1	1.48	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae
SRR11125891_1	1.63	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae
SRR11125891_1	0.87	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
SRR11125891_1	0.23	Root; d__Bacteria; p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae
SRR11125891_1	2.07	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae
SRR11125891_1	0.17	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae
SRR11125891_1	0.06	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae
SRR11125891_1	0.06	Root; d__Bacteria; p__Synergistota; c__Synergistia; o__Synergistales; f__Synergistaceae
SRR11125891_1	1.05	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__CAMFTQ01
SRR11125891_1	19.03	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Ruminococcoides
SRR11125891_1	0.45	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Eubacterium_R
SRR11125891_1	1.67	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Fimenecus
SRR11125891_1	0.61	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__CAG-177
SRR11125891_1	0.17	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Hominenteromicrobium
SRR11125891_1	3.02	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Limousia
SRR11125891_1	3.29	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Limivicinus
SRR11125891_1	8.96	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Faecousia
SRR11125891_1	4.36	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Vescimonas
SRR11125891_1	0.21	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__CAG-170
SRR11125891_1	0.06	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Pseudoflavonifractor_A
SRR11125891_1	0.23	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Oscillibacter
SRR11125891_1	1.01	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Hominicoprocola
SRR11125891_1	0.62	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Evtepia
SRR11125891_1	0.16	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Intestinimonas
SRR11125891_1	0.88	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__UMGS1668
SRR11125891_1	1.17	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Gemmiger
SRR11125891_1	1.15	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Christensenellales; f__Aristaeellaceae; g__Ventricola
SRR11125891_1	0.74	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Christensenellales; f__Aristaeellaceae; g__SFTH01
SRR11125891_1	0.4	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Christensenellales; f__CAG-917; g__CAG-349
SRR11125891_1	0.15	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Oliverpabstia
SRR11125891_1	0.06	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__SFDP01
SRR11125891_1	0.45	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Choladousia
SRR11125891_1	0.65	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium
SRR11125891_1	5.22	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Limosilactobacillus
SRR11125891_1	0.57	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus_E
SRR11125891_1	0.45	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
SRR11125891_1	0.34	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RF39; f__UBA660; g__Aphodocola
SRR11125891_1	0.91	Root; d__Bacteria; p__Bacillota; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Phascolarctobacterium_A
SRR11125891_1	0.26	Root; d__Bacteria; p__Bacillota; c__Peptococcia; o__Peptococcales; f__Peptococcaceae; g__UMGS1590
SRR11125891_1	2.73	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__CAG-873
SRR11125891_1	0.01	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Sodaliphilus
SRR11125891_1	0.16	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides
SRR11125891_1	0.8	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella
SRR11125891_1	0.14	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
SRR11125891_1	1.25	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA932; g__Cryptobacteroides
SRR11125891_1	0.4	Root; d__Bacteria; p__Desulfobacterota_I; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio
SRR11125891_1	0.11	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium
SRR11125891_1	18.0	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanocatella; s__Methanocatella smithii
SRR11125891_1	4.14	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Eubacterium_R; s__Eubacterium_R coprostanoligenes
SRR11125891_1	0.82	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Fimenecus; s__Fimenecus sp004555265
SRR11125891_1	1.75	Root; d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Fimenecus; s__Fimenecus sp900766945
