query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes
SRR11125891,superkingdom,0.4521786675639278,d__Bacteria,028a6fec,-,0.6302112265774252,107510000,0.9845581553800848,73807
SRR11125891,superkingdom,0.06965006729475101,Eukaryota,028a6fec,-,0.027341580066931326,16560000,0.9491004669490881,73807
SRR11125891,superkingdom,0.007823014804845221,d__Archaea,028a6fec,-,0.027165445011990735,1860000,0.9092715669002684,73807
SRR11125891,superkingdom,0.47034825033647587,unclassified,028a6fec,-,0.31528174834365275,111830000,,73807
SRR11125891,phylum,0.32141655450874684,d__Bacteria;p__Bacillota,028a6fec,-,0.5475090438576293,76420000,0.9779905793511179,73807
SRR11125891,phylum,0.07919751009421261,d__Bacteria;p__Bacteroidota,028a6fec,-,0.0471229016217974,18830000,0.9514941191079123,73807
SRR11125891,phylum,0.06965006729475101,Eukaryota;Chordata,028a6fec,-,0.027341580066931326,16560000,0.9491004669490881,73807
SRR11125891,phylum,0.02464670255720054,d__Bacteria;p__Pseudomonadota,028a6fec,-,0.0208381318845096,5860000,0.9299634057057057,73807
SRR11125891,phylum,0.015393674293405116,d__Bacteria;p__Actinomycetota,028a6fec,-,0.009850014226292897,3660000,0.9214201217236441,73807
SRR11125891,phylum,0.007823014804845221,d__Archaea;p__Methanobacteriota,028a6fec,-,0.027165445011990735,1860000,0.9092715669002684,73807
SRR11125891,phylum,0.006519179004037685,d__Bacteria;p__Desulfobacterota_I,028a6fec,-,0.0026962212256290054,1550000,0.9060267858293787,73807
SRR11125891,phylum,0.003490915208613728,d__Bacteria;p__Synergistota,028a6fec,-,0.0015852154944652947,830000,0.8949985654802414,73807
SRR11125891,phylum,0.0005888290713324361,d__Bacteria;p__Verrucomicrobiota,028a6fec,-,0.00021678160608072406,140000,0.8643038663360437,73807
SRR11125891,phylum,0.0005467698519515478,d__Bacteria;p__Spirochaetota,028a6fec,-,0.00024387930684081457,130000,0.8630488605981727,73807
SRR11125891,phylum,0.0003785329744279946,d__Bacteria;p__Planctomycetota,028a6fec,-,0.00014903735418049779,90000,0.8568484085867073,73807
SRR11125891,phylum,0.4703482503364752,unclassified,028a6fec,-,0.3152817483436524,111830000,,73807
SRR11125891,class,0.2579491924629877,d__Bacteria;p__Bacillota;c__Clostridia,028a6fec,-,0.447775956210115,61330000,0.9737813539137601,73807
SRR11125891,class,0.07919751009421261,d__Bacteria;p__Bacteroidota;c__Bacteroidia,028a6fec,-,0.0471229016217974,18830000,0.9514941191079123,73807
SRR11125891,class,0.06965006729475101,Eukaryota;Chordata;Mammalia,028a6fec,-,0.027341580066931326,16560000,0.9491004669490881,73807
SRR11125891,class,0.05379374158815613,d__Bacteria;p__Bacillota;c__Bacilli,028a6fec,-,0.0944896825504356,12790000,0.9443052132249196,73807
SRR11125891,class,0.02464670255720054,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria,028a6fec,-,0.0208381318845096,5860000,0.9299634057057057,73807
SRR11125891,class,0.008495962314939437,d__Bacteria;p__Actinomycetota;c__Actinomycetes,028a6fec,-,0.004362729822374572,2020000,0.9107440131358067,73807
SRR11125891,class,0.007823014804845221,d__Archaea;p__Methanobacteriota;c__Methanobacteria,028a6fec,-,0.027165445011990735,1860000,0.9092715669002684,73807
SRR11125891,class,0.006897711978465679,d__Bacteria;p__Actinomycetota;c__Coriobacteriia,028a6fec,-,0.005487284403918327,1640000,0.9070300338019356,73807
SRR11125891,class,0.006519179004037685,d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia,028a6fec,-,0.0026962212256290054,1550000,0.9060267858293787,73807
SRR11125891,class,0.005846231493943472,d__Bacteria;p__Bacillota;c__Negativicutes,028a6fec,-,0.00319752868969068,1390000,0.9040933088478977,73807
SRR11125891,class,0.0038273889636608344,d__Bacteria;p__Bacillota;c__Peptococcia,028a6fec,-,0.0020458764073868333,910000,0.8966148620469877,73807
SRR11125891,class,0.003490915208613728,d__Bacteria;p__Synergistota;c__Synergistia,028a6fec,-,0.0015852154944652947,830000,0.8949985654802414,73807
SRR11125891,class,0.0005888290713324361,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria,028a6fec,-,0.00021678160608072406,140000,0.8643038663360437,73807
SRR11125891,class,0.0005467698519515478,d__Bacteria;p__Spirochaetota;c__Spirochaetia,028a6fec,-,0.00024387930684081457,130000,0.8630488605981727,73807
SRR11125891,class,0.0003785329744279946,d__Bacteria;p__Planctomycetota;c__Planctomycetia,028a6fec,-,0.00014903735418049779,90000,0.8568484085867073,73807
SRR11125891,class,0.47034825033647387,unclassified,028a6fec,-,0.31528174834365374,111830000,,73807
SRR11125891,order,0.13248654104979807,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales,028a6fec,-,0.2554771227661332,31500000,0.9611422791365967,73807
SRR11125891,order,0.07919751009421261,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,028a6fec,-,0.0471229016217974,18830000,0.9514941191079123,73807
SRR11125891,order,0.06965006729475101,Eukaryota;Chordata;Mammalia;Artiodactyla,028a6fec,-,0.027341580066931326,16560000,0.9491004669490881,73807
SRR11125891,order,0.04601278600269178,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales,028a6fec,-,0.04666224070887585,10940000,0.9414167734282712,73807
SRR11125891,order,0.044162180349932696,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales,028a6fec,-,0.06538675193409839,10500000,0.9406593201393354,73807
SRR11125891,order,0.038105652759084785,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales,028a6fec,-,0.08455837522186242,9060000,0.9379426032793673,73807
SRR11125891,order,0.026160834454912525,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales,028a6fec,-,0.0764426138442153,6220000,0.9310511923909185,73807
SRR11125891,order,0.02464670255720054,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales,028a6fec,-,0.0208381318845096,5860000,0.9299634057057057,73807
