query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes
SRR606249,superkingdom,0.379,Bacteria,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.727,161123000,0.969,7462785
SRR606249,superkingdom,0.080,Archaea,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.211,33919000,0.922,7462785
SRR606249,superkingdom,0.541,unclassified,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.062,229873000,,7462785
SRR606249,phylum,0.126,Bacteria;Proteobacteria,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.191,53691000,0.935,7462785
SRR606249,phylum,0.054,Archaea;Euryarchaeota,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.126,23141000,0.910,7462785
SRR606249,phylum,0.031,Bacteria;Bacteroidetes,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.032,13322000,0.894,7462785
SRR606249,phylum,0.031,Bacteria;Firmicutes,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.048,13241000,0.894,7462785
SRR606249,phylum,0.030,Bacteria;Chlorobi,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.062,12742000,0.893,7462785
SRR606249,phylum,0.027,Bacteria;Chloroflexi,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.031,11653000,0.890,7462785
SRR606249,phylum,0.025,Bacteria;Actinobacteria,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.021,10428000,0.887,7462785
SRR606249,phylum,0.024,Archaea;Crenarchaeota,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.073,10347000,0.887,7462785
SRR606249,phylum,0.017,Bacteria;Cyanobacteria,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.023,7288000,0.877,7462785
SRR606249,phylum,0.017,Bacteria;Planctomycetes,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.089,7039000,0.876,7462785
SRR606249,phylum,0.015,Bacteria;Aquificae,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.039,6428000,0.874,7462785
SRR606249,phylum,0.011,Bacteria;Gemmatimonadetes,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.038,4629000,0.864,7462785
SRR606249,phylum,0.011,Bacteria;Deinococcus-Thermus,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.013,4580000,0.864,7462785
SRR606249,phylum,0.010,Bacteria;Thermotogae,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.074,4257000,0.862,7462785
SRR606249,phylum,0.010,Bacteria;Acidobacteria,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.031,4167000,0.861,7462785
SRR606249,phylum,0.007,Bacteria;Spirochaetes,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.017,2848000,0.851,7462785
SRR606249,phylum,0.006,Bacteria;Verrucomicrobia,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.009,2701000,0.849,7462785
SRR606249,phylum,0.004,Bacteria;Dictyoglomi,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.009,1839000,0.839,7462785
SRR606249,phylum,0.001,Archaea;Nanoarchaeota,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.013,431000,0.801,7462785
SRR606249,phylum,0.001,Bacteria;Fusobacteria,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.001,270000,0.789,7462785
SRR606249,phylum,0.541,unclassified,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.062,229873000,,7462785
SRR606249,class,0.052,Bacteria;Proteobacteria;Betaproteobacteria,1b1b1d8e,outputs.paper/trim/SRR606249.trim.fq.gz,0.059,21914000,0.909,7462785
